date,open,high,close,low,volume,amount
2019/3/8,11.11,11.37,10.93,10.9,28861008,319505707
2019/3/7,11.59,11.71,11.35,11.18,23957943,272558855
2019/3/6,12.03,12.03,11.61,11.3,23494230,270951902
2019/3/5,11.56,11.95,11.75,11.56,21347659,249413503
2019/3/4,11.41,12.34,11.73,11.4,27562632,328037585
2019/3/1,11.5,11.65,11.47,11.26,14584177,166767662
2019/2/28,10.91,11.68,11.39,10.9,22389066,255122033
2019/2/27,11.2,11.45,10.95,10.81,21307651,236367311
2019/2/26,11.16,11.65,11.34,10.79,31601368,357705645
2019/2/25,10.61,11.25,11.16,10.6,41291956,452747336
2019/2/22,9.91,10.24,10.23,9.91,17705344,178714783
2019/2/21,9.71,10.27,9.88,9.7,23320003,233039627
2019/2/20,9.7,9.79,9.68,9.46,12584563,121252011
2019/2/19,9.76,9.85,9.62,9.37,18648390,179355467
2019/2/18,9.45,9.79,9.55,9.36,17704907,168792593
2019/2/15,9.1,9.38,9.18,9.03,14392788,133061878
2019/2/14,9.14,9.18,9.11,9.02,9955292,90592019
2019/2/13,9,9.32,9.23,8.95,16318525,149445438
2019/2/12,9.09,9.1,9,8.9,9530479,85704495
2019/2/11,8.83,9.09,9.03,8.7,10594270,95066978
2019/2/1,8.25,8.92,8.78,8.25,13782832,119317675
2019/1/31,8.18,8.37,8.14,8.09,6405932,52525595
2019/1/30,8.28,8.38,8.19,8.15,5462190,45028842
2019/1/29,8.56,8.56,8.3,8.06,11901870,97846439
2019/1/28,8.83,8.92,8.57,8.53,8119631,71020366
2019/1/25,8.76,8.83,8.81,8.67,7608756,66668576
2019/1/24,8.55,8.86,8.77,8.48,14139777,122669430
2019/1/23,8.51,8.63,8.62,8.46,5702545,48861780
2019/1/22,8.7,8.77,8.57,8.5,8267460,71106640
2019/1/21,8.7,8.84,8.69,8.62,11981476,104573679
2019/1/18,8.75,8.94,8.7,8.57,12528598,109098783
2019/1/17,8.95,8.96,8.77,8.69,14489438,127493832
2019/1/16,9.3,9.3,8.89,8.86,22607075,203233701
2019/1/15,8.4,9.19,9.19,8.29,31813274,284726613
2019/1/14,8.5,8.59,8.35,8.28,8953060,74997335
2019/1/11,8.21,8.64,8.5,8.21,12439047,105326310
2019/1/10,8.2,8.39,8.23,8.18,6593779,54553382
2019/1/9,8.18,8.43,8.23,8.1,9134553,75946135
2019/1/8,8.1,8.32,8.15,8.06,7572001,61934473
2019/1/7,7.9,8.2,8.18,7.85,10291814,83444498
2019/1/4,7.58,7.89,7.81,7.5,5749412,44467162
2019/1/3,7.9,7.9,7.58,7.54,7106459,54580663
2019/1/2,7.97,8.04,7.84,7.78,5407555,42653421
2018/12/27,11.62,11.62,11.25,11.01,8025600,65132838
2018/12/26,11.62,11.69,11.4,11.22,8641835,71148814
2018/12/25,11.32,11.78,11.73,11.21,9244162,76643112
2018/12/24,11.25,11.49,11.44,11.13,4990868,41034001
2018/12/21,11.19,11.29,11.17,11.04,4592536,37008603
2018/12/20,10.95,11.29,11.22,10.93,5548646,44511089
2018/12/19,11.26,11.28,10.92,10.85,5565248,44436501
2018/12/18,11.25,11.35,11.24,11.08,4549987,36759692
2018/12/17,11.33,11.39,11.22,11.07,4733665,38216411
2018/12/14,11.69,11.71,11.32,11.31,6672133,55354613
2018/12/13,11.46,11.71,11.6,11.39,6758545,56551338
2018/12/12,11.72,11.75,11.4,11.31,5538200,45772926
2018/12/11,11.53,11.76,11.62,11.39,4702726,39382927
2018/12/10,11.35,11.62,11.54,11.26,6616400,54991519
2018/12/7,11.47,11.64,11.46,11.4,5497753,45688724
2018/12/6,11.72,11.72,11.5,11.29,9552430,79265075
2018/12/5,11.9,12,11.82,11.76,8696935,74514222
2018/12/4,12.18,12.23,12.08,11.89,9723026,84547838
2018/12/3,11.75,12.3,12.23,11.75,19833655,172977916
2018/11/30,11.35,11.4,11.37,11.08,6457202,52368865
2018/11/29,11.89,11.9,11.32,11.29,11231885,93504027
2018/11/28,11.28,11.82,11.8,11.26,11783760,98511407
2018/11/27,11.33,11.47,11.19,11.08,6156724,50112593
2018/11/26,11.14,11.44,11.29,11.1,6256903,51116203
2018/11/23,11.94,11.97,11.25,10.99,13941308,114376523
2018/11/22,11.8,12,11.73,11.61,6254714,53278894
2018/11/21,11.43,11.85,11.68,11.29,9352657,78189288
2018/11/20,12.05,12.07,11.53,11.32,12552007,105309091
2018/11/19,12.46,12.54,12.05,11.97,9188503,80632894
2018/11/16,12.05,12.66,12.25,11.97,11236452,99845526
2018/11/15,11.94,12.14,12.07,11.71,8913345,76683651
2018/11/14,12.25,12.3,11.93,11.86,11597178,100614274
2018/11/13,11.62,12.5,12.28,11.51,20884106,182586845
2018/11/12,11.32,11.85,11.79,11.24,12941237,108758885
2018/11/9,11.33,11.54,11.36,11.17,10694249,88069808
2018/11/8,11.49,11.49,11.22,11.22,8509278,69496680
2018/11/7,11.5,11.71,11.33,11.29,10352416,85780890
2018/11/6,11.29,11.6,11.5,11.17,12481025,102574775
2018/11/5,11.28,11.4,11.29,11.07,18507846,150030188
2018/11/2,10.46,11.28,11.28,10.45,27149054,216345492
2018/11/1,10.25,10.46,10.25,10.17,10835336,80662557
2018/10/31,9.82,10.31,10.16,9.82,9873560,71760800
2018/10/30,9.64,9.99,9.78,9.45,10077448,70950518
2018/10/29,9.77,9.84,9.52,9.49,4432833,30848595
2018/10/26,9.82,9.89,9.7,9.66,3457765,24387210
2018/10/25,9.43,9.74,9.7,9.42,6177979,42681607
2018/10/24,9.74,10.03,9.82,9.63,6400000,45461843
2018/10/23,9.88,9.95,9.75,9.64,8009833,56609496
2018/10/22,9.14,9.91,9.8,9.1,11214699,78499243
2018/10/19,8.7,9.2,9.03,8.59,6677643,42987099
2018/10/18,9.2,9.2,8.85,8.69,6051239,38712876
2018/10/17,9.28,9.3,9.2,9.02,4684358,30951595
2018/10/16,9.45,9.5,9.12,8.89,7430735,49064722
2018/10/15,9.31,9.59,9.39,9.28,5232052,35572150
2018/10/12,9.42,9.42,9.27,8.92,6810945,44984460
2018/10/11,10.11,10.11,9.43,9.43,13227928,91736275
2018/10/10,10.65,10.65,10.49,10.4,3633121,27545799
2018/10/9,10.74,10.78,10.61,10.57,3230425,24877715
2018/10/8,10.88,10.88,10.67,10.57,6360459,49278248
2018/9/28,11.08,11.18,11.17,10.96,5408755,43246474
2018/9/27,11.19,11.25,11,10.96,6905959,55334134
2018/9/26,11.36,11.36,11.24,11.13,7105617,57698911
2018/9/25,11.39,11.6,11.28,11.22,6444903,53063842
2018/9/21,11.29,11.51,11.46,11.15,7933246,65022511
2018/9/20,11.22,11.4,11.22,11.19,4317837,35172082
2018/9/19,11.22,11.42,11.21,11.18,8181268,66686163
2018/9/18,10.96,11.25,11.22,10.95,5194394,41619770
2018/9/17,11.25,11.28,10.92,10.82,6310500,50196261
2018/9/14,11.46,11.54,11.25,11.21,7098633,58102380
2018/9/13,11.5,11.55,11.5,11.31,5259879,43494958
2018/9/12,11.4,11.54,11.33,11.32,5377022,44308937
2018/9/11,11.26,11.46,11.39,11.03,6033014,49093579
2018/9/10,11.4,11.57,11.29,11.24,7397691,60921340
2018/9/7,11.26,11.64,11.35,11.19,8398740,69407644
2018/9/6,11.4,11.57,11.29,11.22,6583084,54106383
2018/9/5,11.26,11.83,11.5,11.25,13386404,112092416
2018/9/4,11.26,11.51,11.33,11.14,10212295,83589068
2018/9/3,11.47,11.53,11.26,10.89,11411420,91713296
2018/8/31,11.5,11.71,11.5,11.36,7375101,61420753
2018/8/30,11.82,11.82,11.44,11.42,7919991,66024550
2018/8/29,11.8,11.83,11.68,11.62,9826047,82998654
2018/8/28,11.85,12.44,11.8,11.72,20060185,174077817
2018/8/27,11.35,11.82,11.68,11.35,15295053,128036443
2018/8/24,11.82,11.82,11.35,11.25,20023259,165474764
2018/8/23,12.15,12.32,11.86,11.54,21528123,183637084
2018/8/22,12.57,12.57,12.26,12.07,6369594,56384109
2018/8/21,12.61,12.64,12.51,12.07,7396021,66399151
2018/8/20,12.36,12.62,12.4,12.1,4961225,44057980
2018/8/17,12.69,12.79,12.46,12.34,5387220,49056154
2018/8/16,12.52,12.75,12.61,12.08,6189791,55850903
2018/8/15,12.91,12.93,12.57,12.47,6437220,58721627
2018/8/14,13.05,13.22,12.93,12.86,4305020,40318572
2018/8/13,13.02,13.26,13.13,12.79,8150439,76690790
2018/8/10,13.04,13.22,13.16,12.83,10432700,98505025
2018/8/9,12.11,13.09,13.04,12,14169306,130829609
2018/8/8,12.61,12.86,11.96,11.91,9735914,86538606
2018/8/7,11.76,12.54,12.47,11.73,11949264,104657199
2018/8/6,12.44,12.46,11.55,11.36,12445379,105596885
2018/8/3,12.55,12.76,12.44,12.34,6331497,57296688
2018/8/2,12.77,12.98,12.59,12.12,11321246,102171178
2018/8/1,13.22,13.36,12.75,12.75,6814588,64218454
2018/7/31,12.86,13.36,13.22,12.86,7859943,74672029
2018/7/30,13.16,13.16,12.83,12.69,8741352,81370902
2018/7/27,13.04,13.25,13.02,12.76,7673518,72203167
2018/7/26,13.44,13.48,13.16,12.98,7285208,69056763
2018/7/25,13.65,13.65,13.34,13.31,7116332,68980358
2018/7/24,13.65,13.84,13.65,13.47,9038007,88828934
2018/7/23,13.15,13.88,13.63,12.91,11923929,117506979
2018/7/20,12.82,13.26,13.15,12.68,9685581,91277624
2018/7/19,12.75,12.88,12.69,12.43,5229390,47895195
2018/7/18,12.76,12.97,12.73,12.66,8169610,75587252
2018/7/17,12.88,13,12.75,12.33,11572490,105593037
2018/7/16,12.79,13.26,12.91,12.69,13022447,121857419
2018/7/13,12.16,13.16,12.69,12.05,16566861,152761001
2018/7/12,11.36,12.33,12.22,11.36,14479142,124453689
2018/7/11,11.29,11.43,11.36,11.18,8545635,69791555
2018/7/10,11.22,11.57,11.51,11.04,12314053,101316638
2018/7/9,11.62,11.67,11.35,11.01,21905105,179499562
2018/7/6,10.82,11.01,10.6,10.4,14036613,108490483
2018/7/5,11.07,11.28,10.93,10.61,8261620,65192622
2018/7/4,11.47,11.64,11.21,11.11,7481810,60957066
2018/7/3,11.38,11.71,11.6,11.15,9356967,77433539
2018/7/2,11.71,11.73,11.35,11.33,12468473,104108178
